arch,n_params,n_train_steps,train_mode,auc,max_gap_acc,min_gap_acc,acc_4,acc_8,acc_16,acc_32,acc_64,first_loss,last_loss,status,elapsed_s
conv7_2l,327360,100,mixed,0.006,0.01,0.0,0.01,0.005,0.0,0.01,0.005,81.4409,8.1366,ok,0.16
conv7_2l,327360,250,fixed8,0.017,0.055,0.0,0.015,0.055,0.0,0.0,0.015,85.128,5.8292,ok,0.29
conv7_2l,327360,250,mixed,0.007,0.01,0.005,0.005,0.01,0.01,0.005,0.005,84.6342,6.2807,ok,0.3
conv7_2l,327360,500,fixed8,0.193,0.95,0.0,0.0,0.95,0.01,0.0,0.005,81.3426,0.1946,ok,0.57
conv7_2l,327360,500,mixed,0.009,0.04,0.0,0.04,0.0,0.0,0.0,0.005,82.4715,5.8347,ok,0.58
conv7_2l,327360,1000,fixed8,0.202,1.0,0.0,0.005,1.0,0.0,0.005,0.0,82.9528,0.0512,ok,1.15
conv7_2l,327360,1000,mixed,0.166,0.775,0.005,0.775,0.025,0.015,0.005,0.01,86.1898,5.9783,ok,1.17
conv7_2l,327360,2000,fixed8,0.206,1.0,0.005,0.01,1.0,0.01,0.005,0.005,83.8331,0.0,ok,2.3
conv7_2l,327360,2000,mixed,0.264,0.975,0.0,0.975,0.335,0.005,0.0,0.005,86.4469,5.6888,ok,2.44
conv7_4l,605376,100,fixed8,0.014,0.04,0.0,0.0,0.04,0.01,0.01,0.01,74.4609,7.8533,ok,0.18
conv7_4l,605376,100,mixed,0.004,0.01,0.0,0.01,0.005,0.005,0.0,0.0,76.087,9.9186,ok,0.19
conv7_4l,605376,250,fixed8,0.188,0.925,0.0,0.005,0.925,0.0,0.005,0.005,74.5643,0.1699,ok,0.43
conv7_4l,605376,250,mixed,0.035,0.14,0.0,0.14,0.02,0.01,0.005,0.0,74.6962,6.2533,ok,0.44
conv7_4l,605376,500,fixed8,0.196,0.97,0.0,0.0,0.97,0.005,0.0,0.005,72.5156,0.0033,ok,0.84
conv7_4l,605376,500,mixed,0.203,0.82,0.0,0.82,0.19,0.005,0.0,0.0,78.987,5.8271,ok,0.86
conv7_4l,605376,1000,fixed8,0.202,1.0,0.0,0.0,1.0,0.005,0.0,0.005,73.4725,0.0001,ok,1.64
conv7_4l,605376,1000,mixed,0.385,0.975,0.01,0.975,0.905,0.025,0.01,0.01,71.6386,5.9617,ok,1.72
conv7_4l,605376,2000,fixed8,0.204,1.0,0.0,0.005,1.0,0.005,0.0,0.01,73.1859,0.0,ok,3.31
conv7_4l,605376,2000,mixed,0.431,0.99,0.0,0.99,0.99,0.17,0.0,0.005,74.6972,5.8592,ok,3.39
ssm_2l,74720,100,fixed8,0.002,0.005,0.0,0.0,0.005,0.0,0.0,0.005,80.4252,25.4038,ok,0.62
ssm_2l,74720,100,mixed,0.002,0.01,0.0,0.01,0.0,0.0,0.0,0.0,85.3364,29.5351,ok,1.28
ssm_2l,74720,250,fixed8,0.003,0.005,0.0,0.0,0.0,0.005,0.005,0.005,83.6073,16.8551,ok,1.5
ssm_2l,74720,250,mixed,0.001,0.005,0.0,0.0,0.0,0.0,0.005,0.0,87.7416,20.4796,ok,3.1
ssm_2l,74720,500,fixed8,0.004,0.01,0.0,0.005,0.005,0.01,0.0,0.0,88.5322,12.7111,ok,2.74
ssm_2l,74720,500,mixed,0.003,0.01,0.0,0.01,0.0,0.005,0.0,0.0,90.2837,14.1149,ok,6.19
ssm_2l,74720,1000,fixed8,0.004,0.01,0.0,0.005,0.0,0.01,0.0,0.005,88.4105,5.763,ok,5.64
ssm_2l,74720,1000,mixed,0.004,0.01,0.0,0.005,0.005,0.0,0.01,0.0,91.6821,5.6855,ok,12.01
ssm_2l,74720,2000,fixed8,0.006,0.015,0.0,0.0,0.0,0.005,0.01,0.015,84.8023,5.541,ok,10.9
ssm_2l,74720,2000,mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.1974,5.4907,ok,23.93
ssm_4l,100096,100,fixed8,0.002,0.01,0.0,0.01,0.0,0.0,0.0,0.0,86.9576,27.0857,ok,1.13
ssm_4l,100096,100,mixed,0.003,0.015,0.0,0.0,0.0,0.0,0.0,0.015,76.8713,26.2839,ok,2.55
ssm_4l,100096,250,fixed8,0.004,0.01,0.0,0.0,0.0,0.005,0.005,0.01,83.3437,23.7618,ok,2.63
ssm_4l,100096,250,mixed,0.007,0.01,0.0,0.005,0.01,0.0,0.01,0.01,85.6812,18.3181,ok,6.11
ssm_4l,100096,500,fixed8,0.003,0.005,0.0,0.005,0.0,0.005,0.0,0.005,83.8357,12.7713,ok,5.19
ssm_4l,100096,500,mixed,0.001,0.005,0.0,0.0,0.0,0.0,0.0,0.005,82.5765,14.4103,ok,11.89
ssm_4l,100096,1000,fixed8,0.006,0.02,0.0,0.02,0.0,0.005,0.005,0.0,89.8386,5.7755,ok,10.23
ssm_4l,100096,1000,mixed,0.005,0.01,0.0,0.01,0.01,0.0,0.005,0.0,88.7728,5.9375,ok,23.6
ssm_4l,100096,2000,fixed8,0.01,0.02,0.0,0.0,0.01,0.01,0.01,0.02,87.8969,5.6227,ok,20.53
ssm_4l,100096,2000,mixed,0.005,0.01,0.0,0.0,0.01,0.005,0.005,0.005,83.6027,5.5804,ok,46.92
rwkv_2l,272448,100,fixed8,0.004,0.015,0.0,0.0,0.0,0.005,0.015,0.0,91.6577,9.1097,ok,0.56
rwkv_2l,272448,100,mixed,0.001,0.005,0.0,0.0,0.0,0.0,0.005,0.0,92.4135,8.1236,ok,1.05
rwkv_2l,272448,250,fixed8,0.002,0.005,0.0,0.005,0.005,0.0,0.0,0.0,92.2429,5.7363,ok,1.3
rwkv_2l,272448,250,mixed,0.01,0.035,0.0,0.0,0.01,0.035,0.0,0.005,90.2361,6.317,ok,2.48
rwkv_2l,272448,500,fixed8,0.003,0.005,0.0,0.0,0.005,0.005,0.005,0.0,90.6401,5.7211,ok,2.39
rwkv_2l,272448,500,mixed,0.002,0.01,0.0,0.0,0.0,0.01,0.0,0.0,91.0225,5.7081,ok,4.86
rwkv_2l,272448,1000,fixed8,0.001,0.005,0.0,0.0,0.0,0.0,0.005,0.0,87.6104,5.7333,ok,4.92
rwkv_2l,272448,1000,mixed,0.005,0.01,0.0,0.005,0.0,0.005,0.01,0.005,89.7742,5.8387,ok,9.74
rwkv_2l,272448,2000,fixed8,0.004,0.01,0.0,0.005,0.01,0.0,0.005,0.0,90.6915,5.7469,ok,9.42
rwkv_2l,272448,2000,mixed,0.005,0.015,0.0,0.01,0.0,0.0,0.0,0.015,90.9142,5.6134,ok,19.29
hybrid_2l,331104,100,fixed8,0.006,0.015,0.0,0.015,0.005,0.0,0.005,0.005,60.2532,6.7668,ok,0.93
hybrid_2l,331104,100,mixed,0.007,0.01,0.0,0.01,0.0,0.01,0.005,0.01,65.1585,8.551,ok,0.17
hybrid_2l,331104,250,fixed8,0.438,0.98,0.09,0.665,0.98,0.23,0.09,0.225,63.8317,0.0282,ok,0.4
hybrid_2l,331104,250,mixed,0.007,0.01,0.005,0.01,0.005,0.01,0.005,0.005,63.0706,5.9137,ok,0.41
hybrid_2l,331104,500,fixed8,0.489,1.0,0.185,0.645,1.0,0.255,0.185,0.36,60.8738,0.0002,ok,0.8
hybrid_2l,331104,500,mixed,0.997,1.0,0.99,1.0,0.995,0.99,1.0,1.0,65.9701,0.0039,ok,0.8
hybrid_2l,331104,1000,fixed8,0.57,1.0,0.25,0.74,1.0,0.4,0.25,0.46,63.6516,0.0001,ok,1.52
hybrid_2l,331104,1000,mixed,0.999,1.0,0.995,1.0,1.0,1.0,1.0,0.995,66.1407,0.0,ok,1.58
hybrid_2l,331104,2000,fixed8,0.728,1.0,0.48,0.995,1.0,0.635,0.53,0.48,62.7012,0.0,ok,3.02
hybrid_2l,331104,2000,mixed,0.994,0.995,0.99,0.995,0.995,0.99,0.995,0.995,65.0217,0.0202,ok,3.18
hybrid_4l,563712,100,fixed8,0.004,0.005,0.0,0.005,0.005,0.005,0.0,0.005,65.6421,7.3495,ok,0.26
hybrid_4l,563712,100,mixed,0.002,0.005,0.0,0.0,0.005,0.0,0.0,0.005,60.8234,6.9528,ok,0.27
hybrid_4l,563712,250,fixed8,0.29,0.68,0.11,0.265,0.68,0.2,0.11,0.195,62.1608,1.2154,ok,0.61
hybrid_4l,563712,250,mixed,0.918,0.95,0.89,0.89,0.9,0.95,0.925,0.925,60.643,0.511,ok,0.62
hybrid_4l,563712,500,fixed8,0.68,1.0,0.405,0.68,1.0,0.675,0.64,0.405,63.9882,0.0011,ok,1.2
hybrid_4l,563712,500,mixed,0.997,1.0,0.99,0.99,1.0,1.0,1.0,0.995,61.4883,0.0012,ok,1.22
hybrid_4l,563712,1000,fixed8,0.813,1.0,0.635,0.925,1.0,0.765,0.635,0.74,59.7043,0.0066,ok,2.37
hybrid_4l,563712,1000,mixed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.7233,0.0,ok,2.45
hybrid_4l,563712,2000,fixed8,0.689,0.995,0.43,0.695,0.995,0.745,0.58,0.43,59.0214,0.0005,ok,4.74
hybrid_4l,563712,2000,mixed,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,61.1017,0.0,ok,4.84
