pair,count,avg_loss_ratio,avg_stability_score
lif_neuron -> linear_proj_down,8,0.012065959114299352,0.5
shared_basis_proj -> tropical_add,8,0.014197889844021781,0.875
tropical_gate -> add,8,0.013479776220193225,1.0
input -> sigmoid,8,0.01322205353920159,0.875
integral_kernel -> add,8,0.013674993127092862,1.0
relu_gate_routing -> add,8,0.011541916354509782,0.75
rmsnorm -> rwkv_channel,8,0.010013579256346772,0.625
add -> rmsnorm,8,0.01149493153894095,0.625
concat -> poincare_add,8,0.014505089220392748,1.0
tropical_moe -> add,8,0.01364978196427792,1.0
moe_topk -> add,8,0.01144969767456711,1.0
input -> dynamic_norm,8,0.011684131054179713,0.875
selective_scan -> ternary_projection,8,0.010493950774533994,0.75
add -> progressive_compression_gate,8,0.01127499326441965,1.0
tropical_attention -> linear_proj_down,8,0.013717067759663462,0.875
input -> clifford_attention,7,0.014340403111992469,1.0
linear_proj_up -> relu,7,0.010591430464315918,0.8571428571428571
relu -> linear_proj_down,7,0.010999723797688378,0.8571428571428571
input -> sqrt,7,0.013680151701732963,1.0
linear_proj_up -> latent_attention_compressor,7,0.013799115257259482,0.8571428571428571
tropical_attention -> concat,7,0.013448037183061475,0.5714285714285714
learnable_bias -> add,7,0.011626049552601173,0.8571428571428571
no_norm -> add,7,0.012335276135828384,0.8571428571428571
input -> topk_gate,7,0.013207199038605549,1.0
tanh -> linear_proj_down,7,0.012556181807456537,0.8571428571428571
input -> log_map,7,0.014095081473583447,1.0
bottleneck_proj -> tropical_add,7,0.01412141486716372,1.0
input -> outer_product,7,0.012806452205315061,0.8571428571428571
linear_proj_up -> tropical_matmul,7,0.013619389092992068,1.0
softmax_attention -> add,6,0.01271182599547374,0.8333333333333334
input -> sliding_window_mask,6,0.014230696958974491,1.0
spike_rate_code -> add,6,0.012268402278306084,1.0
input -> hyp_linear,6,0.013040220398538872,1.0
conv1d_seq -> concat,6,0.011738728903986534,0.5
concat -> grade_mix,6,0.011995882393083086,0.6666666666666666
grade_mix -> add,6,0.013685281813206862,1.0
linear_proj_up -> layernorm,6,0.013820782258617636,0.8333333333333334
split2 -> grade_mix,6,0.013571211881450412,0.8333333333333334
concat -> shared_basis_proj,6,0.015008964833558881,1.0
learnable_scale -> add,6,0.012939061550211428,1.0
split2 -> padic_residual,6,0.014402184623108704,1.0
conv1d_seq -> swiglu_mlp,6,0.009993428197921551,0.5
input -> mul,6,0.014167432597361591,1.0
split2 -> moe_2expert,6,0.01456773011753837,1.0
moe_2expert -> concat,6,0.01461878133018729,1.0
grade_select -> linear_proj_up,6,0.012281249289426949,0.6666666666666666
sliding_window_mask -> add,6,0.01348975860854792,1.0
split2 -> grouped_linear,6,0.0126715355612438,1.0
grade_select -> add,6,0.01494266924824318,1.0
input -> token_merging,6,0.014940015445999861,1.0
split2 -> tropical_attention,6,0.013539140084181825,0.5
grade_select -> concat,6,0.011247574332032486,0.6666666666666666
graph_attention -> add,6,0.013571397995322832,1.0
ultrametric_attention -> linear_proj_down,6,0.014038061748117855,0.8333333333333334
input -> token_type_classifier,6,0.011269925538733934,0.8333333333333334
concat -> tropical_moe,6,0.013164239818133689,1.0
input -> layernorm_pre,6,0.012397714270742983,0.8333333333333334
add -> moe_topk,6,0.011352138395658256,1.0
add -> block_sparse_linear,6,0.0138611155566482,1.0
relu -> add,6,0.012346353654006867,1.0
sin -> add,6,0.013078765700245307,1.0
square -> add,6,0.010717887302631278,0.8333333333333334
add -> ternary_projection,6,0.01216455701411194,0.8333333333333334
rmsnorm -> add,6,0.011428981819040257,1.0
linear_proj_up -> tanh,6,0.012563938058728024,0.8333333333333334
block_sparse_linear -> split2,6,0.01416604913507767,0.8333333333333334
input -> tropical_gate,6,0.014374076459615364,1.0
concat -> tropical_add,6,0.01410705362023149,1.0
linear_proj_up -> geometric_product,6,0.013197445731857826,1.0
tropical_router -> add,5,0.01366228680425276,1.0
input -> hyperbolic_norm,5,0.01330248762495353,1.0
ultrametric_attention -> add,5,0.013934584200371839,1.0
swiglu_mlp -> split2,5,0.011089266722565517,0.4
split2 -> conv1d_seq,5,0.011407805019146663,0.4
shared_basis_proj -> linear_proj_down,5,0.014189649099749266,1.0
split2 -> grade_select,5,0.012129543428164396,0.8
split2 -> fused_linear_gelu,5,0.011552387748925856,0.6
linear_proj_up -> token_merging,5,0.013174566281594361,0.6
padic_residual -> add,5,0.013497042043604532,1.0
tropical_moe -> split2,5,0.013772788234450276,1.0
grouped_linear -> concat,5,0.01332633214626828,1.0
tropical_attention -> add,5,0.014708773999748893,1.0
concat -> moe_2expert,5,0.011814195419708528,0.8
input -> transpose_sd,5,0.01473023021895618,1.0
transpose_sd -> add,5,0.014127419301874717,1.0
linear_proj -> exp,5,0.011534421498279837,0.8
split2 -> log_map,5,0.013802315272587231,0.8
log_map -> concat,5,0.013802315272587231,0.8
concat -> block_sparse_linear,5,0.01294045797479346,1.0
input -> relu_gate_routing,5,0.011986186919365776,0.8
sigmoid_norm -> add,5,0.01213807691849548,1.0
group_norm -> add,5,0.012169682575279622,0.8
add -> selective_scan,5,0.01096005768187229,0.8
square -> linear_proj_down,5,0.012293644792417752,0.4
abs -> add,5,0.012028289458594627,1.0
neg -> add,5,0.013270847592188231,1.0
tanh -> add,5,0.011924643597516292,0.8
spike_rate_code -> linear_proj_down,5,0.013968691610487579,1.0
linear_proj_up -> grade_select,5,0.01267809365338192,0.8
geometric_product -> add,5,0.013356476918406001,1.0
input -> hyp_tangent_nonlinear,5,0.014491731808325881,0.8
geometric_product -> bottleneck_proj,5,0.010054970891508443,0.8
tropical_add -> add,5,0.013164536784715566,1.0
poincare_add -> tropical_matmul,5,0.013962374930550067,1.0
geometric_product -> linear_proj_down,5,0.01263049102384696,0.6
linear_proj_up -> poincare_add,5,0.013824435719067113,1.0
add -> layernorm,4,0.011304530203882411,0.75
padic_residual -> grouped_linear,4,0.013319394082632755,1.0
poincare_add -> low_rank_proj,4,0.015336135925970724,1.0
bottleneck_proj -> tied_proj,4,0.011574606174187051,0.75
bottleneck_proj -> ultrametric_attention,4,0.013906537081676206,1.0
concat -> abs,4,0.014333565057888097,0.75
linear_proj_up -> cascade,4,0.0114173094331983,0.5
cascade -> add,4,0.012342420422689574,0.5
tropical_add -> tied_proj,4,0.013685464269687102,0.75
rotor_transform -> tropical_add,4,0.013028791346498942,1.0
fixed_point_iter -> add,4,0.011545486244097996,0.75
relu -> conv1d_seq,4,0.010851459467526355,0.25
rotor_transform -> shared_basis_proj,4,0.014810770990339138,1.0
concat -> grade_select,4,0.011460484788231693,0.5
linear_proj_up -> padic_residual,4,0.01451929282961555,1.0
tropical_matmul -> linear_proj,4,0.014336369193228648,0.75
concat -> tropical_matmul,4,0.014935445402560445,1.0
split2 -> tropical_matmul,4,0.014543737455488972,0.75
tropical_matmul -> concat,4,0.014543737455488972,0.75
padic_residual -> concat,4,0.015672898304984084,1.0
split2 -> poincare_add,4,0.013970480804917161,1.0
concat -> concat,4,0.013119692534681043,0.75
input -> adaptive_recursion,4,0.012332490866053522,1.0
tropical_router -> poincare_add,4,0.014393155368610142,1.0
input -> graph_attention,4,0.014876351543243127,1.0
poincare_add -> split2,4,0.01273995269385715,1.0
linear_proj -> concat,4,0.011776449780534005,1.0
concat -> split2,4,0.012275492005334336,1.0
lane_router -> relu,4,0.009720233305301123,0.75
relu -> load_balance_loss,4,0.009720233305301123,0.75
load_balance_loss -> add,4,0.009720233305301123,0.75
ultrametric_attention -> split2,4,0.012305116508139851,1.0
moe_2expert -> split2,4,0.015924969029667505,1.0
input -> exp_map,4,0.01357296039807141,0.75
block_sparse_linear -> concat,4,0.013465920886845957,0.75
input -> local_window_attn,4,0.013257966896764804,1.0
add -> latent_attention_compressor,4,0.012111804486001155,0.75
ternary_projection -> gelu,4,0.01211200996725188,0.75
input -> softmax_last,4,0.015013034747641478,1.0
sqrt -> progressive_compression_gate,4,0.014502548232229327,1.0
linear_proj_down -> semi_structured_2_4_linear,4,0.012901635325517977,1.0
layernorm_pre -> add,4,0.011955945235593296,1.0
sigmoid -> add,4,0.013058225507793066,1.0
add -> sigmoid,4,0.013182978150910787,1.0
input -> softmax_attention,4,0.013374141660151216,1.0
input -> no_norm,4,0.011932539969939374,0.75
conv1d_seq -> add,4,0.012492248227998364,1.0
progressive_compression_gate -> rmsnorm,4,0.009747318710224256,0.75
add -> nm_sparse_linear,4,0.009701503963820393,0.75
linear_proj_up -> block_sparse_linear,4,0.013843147007474844,0.75
input -> neg,4,0.012356426963635812,1.0
padic_gate -> tropical_add,4,0.01041834237819659,0.5
linear_proj -> spike_rate_code,4,0.010560794832656891,0.75
input -> tropical_center,4,0.014165170506380567,0.75
lif_neuron -> geometric_product,4,0.011325169098283792,0.5
exp_map -> linear_proj_down,4,0.013732757305130882,0.75
split2 -> ultrametric_attention,4,0.013950357043838886,1.0
ultrametric_attention -> concat,4,0.014379932030932728,1.0
ultrametric_attention -> shared_basis_proj,4,0.01393439151582151,0.75
tropical_add -> tropical_add,4,0.013335631319434198,1.0
speculative -> add,4,0.013033483818252032,0.75
concat -> bottleneck_proj,4,0.014029466479692772,1.0
tropical_matmul -> shared_basis_proj,4,0.013582158830690604,1.0
maximum -> add,4,0.01301756598381908,0.75
rmsnorm -> semi_structured_2_4_linear,3,0.012118528607399667,0.6666666666666666
input -> cos,3,0.012531967357040588,1.0
cos -> linear_proj,3,0.01223942266317482,1.0
sin -> linear_proj,3,0.012328696507711316,1.0
concat -> tropical_attention,3,0.014593196352190668,1.0
tropical_attention -> split2,3,0.01580457679293848,1.0
shared_basis_proj -> concat,3,0.013843922473833807,1.0
layernorm -> split2,3,0.012775757720726913,0.6666666666666666
rotor_transform -> split2,3,0.013967554934878564,1.0
split2 -> tropical_add,3,0.015236837241407576,1.0
concat -> tropical_gate,3,0.014682428699990688,1.0
linear_proj_up -> low_rank_proj,3,0.013930872115319438,1.0
concat -> nm_sparse_linear,3,0.012440351220878233,1.0
fused_linear_gelu -> concat,3,0.010304458745407419,0.3333333333333333
token_merging -> add,3,0.012612921773461115,0.3333333333333333
